Ast_2,Ast_30,Ast_4,FPL_points,FPL_points_2,FPL_points_30,FPL_points_4,FPL_pos,GW,Gls_2,Gls_30,Gls_4,Min_2,Min_30,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_30,Opp_score_4,Opponent,Rating_difference,Season,Team,Team_CS_2,Team_CS_30,Team_CS_4,Team_rating,Team_result_2,Team_result_30,Team_result_4,Team_score_2,Team_score_30,Team_score_4,Was_home,xA_2,xA_30,xA_4,xG_2,xG_30,xG_4,xP
0.0,0.0,0.0,2.0,2.0,3.966666666666667,2.25,GK,37,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1737.79455566,2.0,1.2,1.5,Newcastle Utd,1.071072427375106,2021-22,Arsenal,0.0,0.3333333333333333,0.0,1861.30383301,1.5,1.9,2.25,1.0,1.6333333333333333,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,2.0,3.7333333333333334,2.0,GK,38,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1709.67285156,2.5,1.2666666666666666,1.75,Everton,1.0802504562465323,2021-22,Arsenal,0.0,0.3,0.0,1846.87487793,0.0,1.8,1.5,0.0,1.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,6.0,2.0,3.7,2.0,GK,1,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1753.9017334,1.5,1.2666666666666666,1.75,Crystal Palace,1.0556251432404222,2022-23,Arsenal,0.0,0.3,0.0,1851.46276855,1.5,1.8,1.5,2.5,1.6666666666666667,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,3.0,4.0,3.7,3.0,GK,2,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1776.17163086,0.5,1.2666666666666666,1.5,Leicester City,1.0477696211479959,2022-23,Arsenal,0.5,0.3,0.25,1861.01867676,3.0,1.8666666666666667,1.5,3.5,1.7333333333333334,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,6.0,4.5,3.7333333333333334,3.25,GK,3,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1642.35546875,1.0,1.2666666666666666,1.25,Bournemouth,1.1373649341282408,2022-23,Arsenal,0.5,0.3,0.25,1867.95751953,3.0,1.9333333333333333,2.25,3.0,1.8,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,2.0,4.5,3.8333333333333335,4.25,GK,4,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1656.71557617,1.0,1.2333333333333334,0.75,Fulham,1.1319511157463569,2022-23,Arsenal,0.5,0.3333333333333333,0.5,1875.32104492,3.0,1.9333333333333333,3.0,3.5,1.8,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,4.0,3.566666666666667,4.25,GK,5,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1716.25915527,0.5,1.2666666666666666,0.75,Aston Villa,1.0940436762270953,2022-23,Arsenal,0.5,0.3,0.5,1877.66247559,3.0,1.9333333333333333,3.0,2.5,1.8,2.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,2.0,3.4,3.25,GK,6,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1810.03186035,1.0,1.3,1.0,Manchester Utd,1.039120216301777,2022-23,Arsenal,0.0,0.26666666666666666,0.25,1880.84069824,3.0,1.9333333333333333,3.0,2.0,1.8333333333333333,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,6.0,2.0,3.433333333333333,3.0,GK,8,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1728.76403809,2.0,1.2666666666666666,1.25,Brentford,1.0768449590707438,2022-23,Arsenal,0.0,0.26666666666666666,0.25,1861.61083984,1.5,1.9333333333333333,2.25,1.5,1.8666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,2.0,4.0,3.4,3.0,GK,9,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1872.87072754,1.5,1.2666666666666666,1.25,Tottenham,0.9994038803300288,2022-23,Arsenal,0.5,0.26666666666666666,0.25,1871.75427246,1.5,1.9333333333333333,2.25,2.0,1.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0,4.0,3.3666666666666667,3.0,GK,10,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1984.58215332,0.5,1.2,1.25,Liverpool,0.9523259659713647,2022-23,Arsenal,0.5,0.26666666666666666,0.25,1889.96911621,3.0,2.033333333333333,2.25,3.0,1.9333333333333333,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.5,3.3333333333333335,2.75,GK,11,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1708.69995117,1.5,1.2,1.5,Leeds United,1.1163590083231758,2022-23,Arsenal,0.0,0.26666666666666666,0.25,1907.52258301,3.0,2.1333333333333333,2.25,3.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,2.0,1.0,3.0,2.5,GK,13,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1678.01123047,1.0,1.2,0.75,Southampton,1.1416727070911281,2022-23,Arsenal,0.5,0.26666666666666666,0.5,1915.73962402,3.0,2.1333333333333333,3.0,2.0,1.9333333333333333,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,6.0,1.5,2.9,1.5,GK,14,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1612.39624023,0.5,1.2333333333333334,1.0,Nott'ham Forest,1.1741041355194155,2022-23,Arsenal,0.5,0.23333333333333334,0.25,1893.12109375,2.0,2.066666666666667,2.5,1.0,1.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,6.0,4.0,3.033333333333333,2.5,GK,15,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1897.92480469,0.5,1.2,0.75,Chelsea,1.0041604599984613,2022-23,Arsenal,0.5,0.26666666666666666,0.5,1905.82104492,2.0,2.066666666666667,2.5,3.0,1.9333333333333333,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,6.0,6.0,3.2,3.75,GK,16,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1686.63122559,0.0,1.1333333333333333,0.25,Wolves,1.13542034046008,2022-23,Arsenal,1.0,0.3,0.75,1915.03540039,3.0,2.1666666666666665,2.5,3.0,1.9333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,3.0,6.0,3.1333333333333333,5.0,GK,17,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1767.13537598,0.0,1.1333333333333333,0.25,West Ham,1.0868354248665875,2022-23,Arsenal,1.0,0.3,0.75,1920.58532715,3.0,2.2333333333333334,2.5,1.5,2.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0,4.5,2.933333333333333,5.25,GK,18,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1799.28674316,0.5,1.1666666666666667,0.25,Brighton,1.0702217818145534,2022-23,Arsenal,0.5,0.26666666666666666,0.75,1925.63586426,3.0,2.2333333333333334,3.0,2.5,2.066666666666667,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,6.0,2.5,2.933333333333333,4.25,GK,19,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1849.74108887,1.5,1.2,0.75,Newcastle Utd,1.0454452854109182,2022-23,Arsenal,0.0,0.26666666666666666,0.5,1933.80310059,3.0,2.2333333333333334,3.0,3.5,2.1333333333333333,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,11.0,4.0,3.066666666666667,4.25,GK,20,0.0,0.0,0.0,90.0,90.0,90.0,Aaron Ramsdale,1867.85644531,1.0,1.1666666666666667,0.75,Tottenham,1.0335666876688665,2022-23,Arsenal,0.5,0.3,0.5,1930.55419922,2.0,2.1666666666666665,2.5,2.0,2.066666666666667,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
