id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
5973,Kenny Tete,3,268,0,0,0,0.06621070206165314,0,1,2,0,D,Fulham,0,0,0.6568512544035912,0.6568512544035912
5989,Moussa Niakhate,2,31,0,0,0,0,0,0,0,0,S,Nottingham Forest,0,0,0.06066468358039856,0.06066468358039856
6026,Richarlison,3,228,0,0.31638989597558975,0,0.038186538964509964,4,2,1,0,F,Tottenham,0,0.31638989597558975,0.6577717587351799,0.36071620881557465
6030,Zanka,1,1,0,0,0,0.2823283076286316,0,1,0,0,S,Brentford,0,0,0.2823283076286316,0
6034,Philip Billing,3,270,0,0.6692991778254509,0,0.1640139054507017,7,4,0,0,M,Bournemouth,0,0.6692991778254509,1.389114759862423,0.8360408246517181
6048,Lewis Dunk,3,270,0,0.2946905866265297,0,0.03231102600693703,7,1,0,0,D,Brighton,0,0.2946905866265297,3.2494729459285736,3.24137282371521
6054,Ederson,3,270,0,0,0,0,0,0,0,0,GK,Manchester City,0,0,0.72593654692173,0.72593654692173
6055,Phil Foden,3,181,0,0.5751295909285545,2,1.081766627728939,7,11,0,0,M S,Manchester City,0,0.5751295909285545,1.947220653295517,1.0832310318946838
6063,Jacob Murphy,1,1,0,0,1,0.5514945983886719,0,2,0,0,S,Newcastle United,0,0,0.5514945983886719,0
6080,Victor Lindelöf,2,83,0,0,0,0.059819307178258896,0,2,0,0,S,Manchester United,0,0,0.3188941963016987,0.3188941963016987
6088,Orel Mangala,2,161,0,0,0,0.0158710777759552,0,1,1,0,M,Nottingham Forest,0,0,0.09158828109502792,0.07571720331907272
6163,Nélson Semedo,3,270,0,0.019421162083745003,0,0.0168922059237957,1,1,1,0,D,Wolverhampton Wanderers,0,0.019421162083745003,0.728700939565897,0.7118087448179722
6221,Pau Torres,3,240,0,0,0,0.013114671222865582,0,1,0,0,D S,Aston Villa,0,0,1.599134299904108,1.599134299904108
6249,Davinson Sánchez,1,77,0,0.11006297916173935,0,0,1,0,1,0,S,Tottenham,0,0.11006297916173935,0.1389056295156479,0.1389056295156479
6326,Ibrahima Konaté,2,180,0,0.026518821716308594,0,0,1,0,0,0,D,Liverpool,0,0.026518821716308594,0.6587954014539719,0.6587954014539719
6345,Jadon Sancho,3,68,0,0,0,0.12816749513149261,0,1,0,0,S,Manchester United,0,0,0.2712413966655731,0.1430738866329193
6382,Pedro Neto,3,270,0,0.6703539937734604,1,1.4333220943808556,6,10,1,0,M,Wolverhampton Wanderers,0,0.6703539937734604,2.260590225458145,0.28997083380818367
6490,Manuel Akanji,2,180,0,0.019080042839050293,0,0.03707383573055267,1,1,0,0,D,Manchester City,0,0.019080042839050293,1.0141937732696533,0.995113730430603
6557,Louis Beyer,1,79,0,0,0,0,0,0,0,0,D,Burnley,0,0,0,0
6665,Curtis Jones,1,17,0,0,0,0,0,0,0,0,S,Liverpool,0,0,0,0
6674,Rayan Ait Nouri,3,210,0,0.32795247435569763,0,0.10564006865024567,1,3,1,0,D S,Wolverhampton Wanderers,0,0.32795247435569763,1.2520874217152596,0.8184949159622192
6686,Nicolo Zaniolo,1,14,0,0.16656579077243805,0,0.05936849117279053,2,1,0,0,S,Aston Villa,0,0.16656579077243805,0.29715442657470703,0.1305886209011078
6820,David Brooks,3,98,0,0.09354434162378311,0,0.425904905423522,4,3,0,0,M S,Bournemouth,0,0.09354434162378311,0.44892796874046326,0.017050348222255707
6835,Tom Cairney,2,84,0,0.01620519533753395,0,0.029726311564445496,1,1,0,0,M S,Fulham,0,0.01620519533753395,0.09615994244813919,0.09615994244813919
6857,Morgan Gibbs-White,3,270,0,0.31279727071523666,1,0.9404863342642784,5,8,1,0,F M,Nottingham Forest,0,0.31279727071523666,1.5983762443065643,0.7460673190653324
6888,William Saliba,3,270,0,0.06650194525718689,1,0.08044789731502533,1,2,0,0,D,Arsenal,0,0.06650194525718689,1.6058851480484009,1.5632520914077759
6912,Pedro Porro,2,180,0,0.18093471229076385,0,0.10360001772642136,4,1,0,0,D,Tottenham,0,0.18093471229076385,1.5976247638463974,1.483502745628357
6962,Robin Olsen,1,90,0,0,0,0,0,0,0,0,GK,Aston Villa,0,0,0,0
6963,Justin Kluivert,3,117,0,0.37236685678362846,0,0.08298181742429733,2,2,0,0,M S,Bournemouth,0,0.37236685678362846,0.5288972705602646,0.07354862242937088
6986,Hamed Junior Traore,2,27,0,0.12472311407327652,0,0.05982113257050514,2,1,0,0,S,Bournemouth,0,0.12472311407327652,0.5228775180876255,0.33833327889442444
7047,Mark Flekken,3,270,0,0,0,0,0,0,0,0,GK,Brentford,0,0,0.8103819489479065,0.8103819489479065
7078,Sean Longstaff,3,45,0,0.09269443154335022,0,0.036066289991140366,2,1,0,0,S,Newcastle United,0,0.09269443154335022,0.12876072525978088,0.036066289991140366
7080,Matheus Cunha,3,256,0,1.4410555809736252,0,0.5814171880483627,8,4,0,0,F M,Wolverhampton Wanderers,0,1.4410555809736252,1.4795807898044586,0.1875201016664505
7083,Christian Nørgaard,3,254,0,0.02340838499367237,1,0.12986557185649872,2,3,0,0,M,Brentford,0,0.02340838499367237,0.9639052525162697,0.9241409674286842
7166,Mathias Jensen,3,223,0,0.10522910952568054,0,0.3308907225728035,2,6,0,0,M,Brentford,0,0.10522910952568054,1.2987353950738907,0.9844020772725344
7184,Tim Ream,2,156,0,0,0,0,0,0,0,1,D,Fulham,0,0,0.06909996829926968,0.06909996829926968
7198,Oliver Skipp,2,98,0,0,0,0,0,0,1,0,M S,Tottenham,0,0,0.24714437127113342,0.24714437127113342
7235,Jason Steele,2,180,0,0,0,0,0,0,0,0,GK,Brighton,0,0,1.8751673698425293,1.8751673698425293
7277,Ryan John Giles,2,180,0,0.07363187521696091,0,0.12511183321475983,1,3,0,0,D,Luton,0,0.07363187521696091,0.2013644576072693,0.08541572466492653
7281,Diogo Dalot,2,111,0,0,0,0,0,0,0,0,D S,Manchester United,0,0,0.14362230151891708,0.14362230151891708
7298,Ben White,3,270,0,0,0,0.10497311502695084,0,2,1,0,D,Arsenal,0,0,1.748519167304039,1.6980535835027695
7332,Max Kilman,3,270,0,0.017349420115351677,0,0.31769996229559183,1,3,1,0,D,Wolverhampton Wanderers,0,0.017349420115351677,1.1424320340156555,0.8620056211948395
7382,Dan Burn,3,270,0,0.11852125823497772,0,0.07235221564769745,1,1,0,0,D,Newcastle United,0,0.11852125823497772,1.7435463592410088,1.6711941286921501
7384,Chris Mepham,1,29,0,0,0,0.015813298523426056,0,1,1,0,S,Bournemouth,0,0,0.04771220684051514,0.03189890831708908
7420,Miguel Almirón,3,269,0,0.4784260466694832,0,0.4248886778950691,9,4,0,0,F,Newcastle United,0,0.4784260466694832,1.0512118488550186,0.42360300570726395
7438,James Garner,3,264,0,0.08563809469342232,0,0.8874278124421835,3,4,1,0,M,Everton,0,0.08563809469342232,1.3721034079790115,0.964104913175106
7439,Tahith Chong,2,168,0,0.051254257559776306,0,0,1,0,0,0,M,Luton,0,0.051254257559776306,0.16720299795269966,0.11594874039292336
7546,Harvey Elliott,3,44,0,0,0,0.023715069517493248,0,1,0,0,S,Liverpool,0,0,0.33965047262609005,0.33965047262609005
7603,Marc Guehi,3,270,0,0.04727578163146973,0,0.01739196665585041,1,1,0,0,D,Crystal Palace,0,0.04727578163146973,0.8449374288320541,0.8275455087423325
7688,Max Aarons,3,256,0,0.02234959602355957,0,0.32337965816259384,1,2,0,0,D,Bournemouth,0,0.02234959602355957,1.0073832795023918,0.6616540234535933
7698,Leandro Trossard,2,59,0,0,0,0.7552386708557606,0,4,0,0,F S,Arsenal,0,0,1.1739703118801117,0.4187316298484802
7699,Adam Webster,2,180,0,0,0,0,0,0,0,0,D,Brighton,0,0,0.5831570774316788,0.5831570774316788
7703,John Egan,3,270,0,0.05202386900782585,0,0,1,0,1,0,D,Sheffield United,0,0.05202386900782585,0,0
7704,Chris Basham,3,116,0,0,0,0,0,0,0,0,M S,Sheffield United,0,0,0,0
7706,George Baldock,2,166,0,0,0,0,0,0,1,0,D,Sheffield United,0,0,0,0
7710,Oliver Norwood,3,265,0,0.029430333524942398,0,0.15337411686778069,2,3,1,0,M,Sheffield United,0,0.029430333524942398,0.1419793665409088,0.11254903674125671
7714,Ben Osborn,3,194,0,0.11254903674125671,0,0,1,0,1,0,D M,Sheffield United,0,0.11254903674125671,0.11254903674125671,0
7726,Ezri Konsa Ngoyo,3,270,0,0,0,0,0,0,0,0,D,Aston Villa,0,0,1.1850346699357033,1.1850346699357033
7752,Gabriel Martinelli,3,252,0,0.5210924297571182,1,0.12227851152420044,6,3,0,0,F,Arsenal,0,0.5210924297571182,1.7957225143909454,1.3478271663188934
7768,Mason Mount,2,158,0,0,0,0.06487124413251877,0,2,0,0,M,Manchester United,0,0,1.414455696940422,1.414455696940422
7931,Takehiro Tomiyasu,2,103,0,0.019561249762773514,0,0,1,0,0,1,D S,Arsenal,0,0.019561249762773514,0.568304717540741,0.5487434640526772
