first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Dominic,Solanke,1,1,14,270,6,55.9,60.4,98.0,1,36,21.5,0,0,0,2.8,65,FWD
Marcus,Tavernier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Hamed,Traorè,0,0,2,36,1,14.7,12.6,28.0,0,7,5.5,0,0,0,0.0,49,MID
Mark,Travers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Illia,Zabarnyi,0,0,4,270,6,2.8,68.0,2.0,0,46,7.4,0,0,0,0.1,45,DEF
Milos,Kerkez,0,0,4,270,6,24.1,53.8,8.0,0,33,8.6,0,0,0,0.2,45,DEF
Ionuț,Radu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Ben,Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Max,Aarons,0,0,4,254,6,39.1,47.6,2.0,0,46,8.9,0,0,0,0.2,45,DEF
Alex,Scott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Tyler,Adams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Kristoffer,Ajer,0,1,5,84,2,11.4,31.6,9.0,0,22,5.2,0,0,0,0.3,45,DEF
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Shandon,Baptiste,0,0,1,18,0,0.0,2.2,0.0,0,3,0.2,0,0,0,2.3,45,MID
Mads,Bech Sørensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Mads,Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Sergi,Canós Tenés,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Nathan,Collins,0,0,9,270,3,2.6,42.2,25.0,0,57,7.0,1,0,0,0.4,45,DEF
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Mikkel,Damsgaard,0,0,2,52,0,3.3,10.4,17.0,0,4,3.1,0,0,0,0.1,49,MID
Josh,Dasilva,0,0,1,9,0,0.0,0.0,2.0,0,3,0.1,0,0,0,0.1,49,MID
Halil,Dervişoğlu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Mark,Flekken,0,0,12,270,3,0.0,86.0,0.0,1,67,8.6,1,0,0,2.4,45,GK
Charlie,Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Rico,Henry,0,1,11,270,3,54.3,65.6,14.0,0,52,13.4,1,0,1,6.6,46,DEF
Aaron,Hickey,0,0,7,238,3,16.1,23.6,6.0,0,35,4.6,1,0,2,0.3,45,DEF
Vitaly,Janelt,0,0,7,270,3,29.2,27.6,26.0,0,21,8.3,1,0,0,0.1,55,MID
Mathias,Jensen,0,1,10,209,2,92.0,42.0,23.0,0,48,15.7,2,0,0,0.7,54,MID
Keane,Lewis-Potter,0,0,2,29,0,0.4,3.0,21.0,0,2,2.4,0,0,0,0.0,49,MID
Bryan,Mbeumo,3,0,25,270,3,63.1,120.2,126.0,3,67,30.9,1,0,0,24.5,67,MID
Ben,Mee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.5,49,DEF
Christian,Nørgaard,0,1,10,239,3,37.4,56.4,18.0,0,41,11.2,1,0,0,0.1,55,MID
Frank,Onyeka,0,0,1,18,1,15.8,4.8,12.0,0,3,3.3,0,0,0,0.0,49,MID
Ethan,Pinnock,0,0,10,270,3,22.5,71.0,20.0,1,59,11.4,1,0,0,2.2,45,DEF
Mads,Roerslev Rasmussen,0,0,2,30,0,0.0,7.0,2.0,0,8,0.9,0,0,0,0.1,45,DEF
Kevin,Schade,1,0,13,167,1,13.1,37.4,35.0,2,27,8.4,1,0,0,0.1,54,MID
Thomas,Strakosha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK
Ivan,Toney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,79,FWD
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Yoane,Wissa,2,1,22,239,3,24.7,84.2,128.0,5,68,23.2,1,0,0,16.4,62,FWD
Yegor,Yarmolyuk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,MID
Mathias,Jorgensen,0,0,1,6,0,17.1,9.8,0.0,0,8,2.7,0,0,0,0.1,45,DEF
Michale,Olakigbe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ethan,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Simon,Adingra,1,0,7,34,1,13.1,42.0,43.0,0,25,9.8,0,0,0,0.4,50,MID
Steven,Alzate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Yasin,Ayari,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Facundo,Buonanotte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Aaron,Connolly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Mahmoud,Dahoud,0,0,4,82,0,38.6,13.2,5.0,0,16,5.7,1,0,0,0.1,49,MID
Lewis,Dunk,0,0,5,270,5,21.8,44.8,51.0,0,41,11.8,0,0,0,4.2,50,DEF
Julio,Enciso,0,2,8,68,1,25.0,39.0,30.0,0,30,9.4,0,0,1,2.4,54,MID
Pervis,Estupiñán,1,2,19,270,5,138.2,118.0,84.0,4,83,34.0,0,0,2,64.5,53,DEF
Evan,Ferguson,1,0,8,125,4,15.5,44.4,111.0,0,22,17.2,0,0,0,5.3,59,FWD
Billy,Gilmour,0,0,4,165,4,43.3,32.0,13.0,0,31,8.8,0,0,0,0.1,50,MID
Pascal,Groß,1,0,13,260,5,181.6,106.0,72.0,3,69,35.9,0,0,1,2.6,64,MID
João Pedro,Junqueira de Jesus,1,0,8,150,3,36.0,56.8,96.0,1,31,18.9,0,0,1,20.4,56,FWD
Michał,Karbownik,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Adam,Lallana,0,0,2,39,1,26.0,9.2,8.0,0,8,4.3,0,0,0,0.1,49,MID
Tariq,Lamptey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.7,40,DEF
Solly,March,3,0,26,234,4,71.3,140.6,112.0,4,83,32.5,1,0,0,10.8,66,MID
Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
James,Milner,0,0,5,205,3,27.4,24.6,2.0,0,33,5.4,1,0,1,0.2,50,MID
Kaoru,Mitoma,1,2,18,260,5,143.3,96.4,89.0,3,76,33.0,0,0,2,44.3,66,MID
Jakub,Moder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Jeremy,Sarmiento Morante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
