Ast_4,CrdR_4,CrdY_4,DEF,FPL_points,FPL_pos,FWD,GW,Gls_4,MID,Min_4,Name_original,Opp_rating,Opponent,Rating_difference,Season,Sh_4,SoT_4,Team,Team_CS_4,Team_rating,Was_home,xA_4,xG_4
0.0,0.0,0.25,1,1.0,DEF,0,31,0.0,0,67.0,Aaron Hickey,1720.87133789,Wolves,1.0374016359636262,2022-23,0.25,0.0,Brentford,0.0,1785.23474121,0.0,0.0,0.0
0.0,0.0,0.25,1,2.0,DEF,0,32,0.0,0,62.75,Aaron Hickey,1812.85070801,Aston Villa,0.9743464912777895,2022-23,0.25,0.0,Brentford,0.0,1766.34472656,1.0,0.0,0.0
0.0,0.0,0.0,1,1.0,DEF,0,33,0.0,0,62.75,Aaron Hickey,1807.36621094,Chelsea,0.9773093157702275,2022-23,0.75,0.0,Brentford,0.0,1766.35583496,0.0,0.0,0.025
0.0,0.0,0.0,1,2.0,DEF,0,34,0.0,0,59.0,Aaron Hickey,1642.38085938,Nott'ham Forest,1.0844233373995498,2022-23,0.5,0.0,Brentford,0.25,1781.03613281,1.0,0.0,0.025
0.0,0.0,0.0,1,2.0,DEF,0,35,0.0,0,63.5,Aaron Hickey,1943.22399902,Liverpool,0.9184961439855241,2022-23,0.75,0.0,Brentford,0.25,1784.84375,0.0,0.0,0.025
0.0,0.0,0.0,1,5.0,DEF,0,36,0.0,0,67.0,Aaron Hickey,1770.97094727,West Ham,1.0064308881111552,2022-23,0.75,0.0,Brentford,0.25,1782.35986328,1.0,0.0,0.025
0.0,0.0,0.25,1,5.0,DEF,0,37,0.0,0,65.5,Aaron Hickey,1819.50793457,Tottenham,0.9871564074517086,2022-23,0.5,0.0,Brentford,0.5,1796.13891602,0.0,0.024999999999999974,0.025
0.25,0.0,0.25,1,6.0,DEF,0,38,0.0,0,87.25,Aaron Hickey,2086.42529297,Manchester City,0.8674557377626766,2022-23,0.5,0.0,Brentford,0.25,1809.8815918,1.0,0.049999999999999975,0.025
0.0,0.0,0.0,1,2.0,DEF,0,1,0.0,0,90.0,Aaron Wan-Bissaka,1783.74121094,Leeds United,1.0796812544489565,2021-22,0.0,0.0,Manchester Utd,0.0,1925.87194824,1.0,0.0,0.0
0.0,0.0,0.0,1,2.0,DEF,0,2,0.0,0,90.0,Aaron Wan-Bissaka,1691.75646973,Southampton,1.1426742687252864,2021-22,0.0,0.0,Manchester Utd,0.0,1933.12658691,0.0,0.0,0.0
0.0,0.0,0.0,1,8.0,DEF,0,3,0.0,0,90.0,Aaron Wan-Bissaka,1727.21008301,Wolves,1.116701208997535,2021-22,0.0,0.0,Manchester Utd,0.0,1928.77758789,0.0,0.04999999999999995,0.0
0.0,0.0,0.0,1,2.0,DEF,0,4,0.0,0,90.0,Aaron Wan-Bissaka,1705.55102539,Newcastle Utd,1.1331614499238256,2021-22,0.0,0.0,Manchester Utd,0.3333333333333333,1932.66467285,1.0,0.0333333333333333,0.0
0.0,0.0,0.0,1,2.0,DEF,0,5,0.0,0,90.0,Aaron Wan-Bissaka,1832.23461914,West Ham,1.0505328366426447,2021-22,0.0,0.0,Manchester Utd,0.25,1924.82263184,0.0,0.024999999999999974,0.0
0.0,0.0,0.0,1,2.0,DEF,0,6,0.0,0,90.0,Aaron Wan-Bissaka,1754.83618164,Aston Villa,1.100330990990542,2021-22,0.25,0.25,Manchester Utd,0.25,1930.90063477,1.0,0.024999999999999974,0.0
0.0,0.0,0.0,1,2.0,DEF,0,7,0.0,0,90.0,Aaron Wan-Bissaka,1782.87646484,Everton,1.0751779967391226,2021-22,0.25,0.25,Manchester Utd,0.25,1916.9095459,1.0,0.024999999999999974,0.0
0.0,0.0,0.0,1,-1.0,DEF,0,8,0.0,0,90.0,Aaron Wan-Bissaka,1763.70373535,Leicester City,1.0843636476397625,2021-22,0.25,0.25,Manchester Utd,0.0,1912.49621582,0.0,0.07499999999999998,0.0
0.0,0.0,0.25,1,-1.0,DEF,0,9,0.0,0,90.0,Aaron Wan-Bissaka,1980.67211914,Liverpool,0.9616818810409905,2021-22,0.25,0.25,Manchester Utd,0.0,1904.77648926,1.0,0.07499999999999998,0.0
0.0,0.0,0.5,1,7.0,DEF,0,10,0.0,0,90.0,Aaron Wan-Bissaka,1801.62072754,Tottenham,1.0486458420911202,2021-22,0.0,0.0,Manchester Utd,0.0,1889.26208496,0.0,0.07499999999999998,0.0
0.0,0.0,0.5,1,1.0,DEF,0,11,0.0,0,90.0,Aaron Wan-Bissaka,1995.08581543,Manchester City,0.9517366370733047,2021-22,0.25,0.0,Manchester Utd,0.25,1898.79626465,1.0,0.09999999999999998,0.0
0.0,0.0,0.5,1,0.0,DEF,0,12,0.0,0,90.0,Aaron Wan-Bissaka,1667.17285156,Watford,1.1337273787006459,2021-22,0.25,0.0,Manchester Utd,0.25,1890.11950684,0.0,0.049999999999999975,0.0
0.0,0.0,0.25,1,2.0,DEF,0,13,0.0,0,90.0,Aaron Wan-Bissaka,1968.86193848,Chelsea,0.9564537408162859,2021-22,0.25,0.0,Manchester Utd,0.25,1883.12536621,0.0,0.049999999999999975,0.0
0.0,0.0,0.0,1,0.0,DEF,0,15,0.0,0,90.0,Aaron Wan-Bissaka,1731.09240723,Crystal Palace,1.0934883160390974,2021-22,0.25,0.0,Manchester Utd,0.25,1892.92932129,1.0,0.049999999999999975,0.0
0.0,0.0,0.0,1,0.0,DEF,0,19,0.0,0,67.5,Aaron Wan-Bissaka,1661.52038574,Newcastle Utd,1.1315081908806577,2021-22,0.0,0.0,Manchester Utd,0.25,1880.02392578,0.0,0.0,0.0
0.0,0.0,0.0,1,2.0,DEF,0,20,0.0,0,45.0,Aaron Wan-Bissaka,1691.05090332,Burnley,1.1089636398042428,2021-22,0.0,0.0,Manchester Utd,0.25,1875.31396484,1.0,0.0,0.0
0.0,0.0,0.0,1,2.0,DEF,0,21,0.0,0,45.0,Aaron Wan-Bissaka,1745.51794434,Wolves,1.076883785007861,2021-22,0.0,0.0,Manchester Utd,0.25,1879.7199707,1.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,24,0.0,0,43.25,Aaron Wan-Bissaka,1681.25219727,Burnley,1.1158765039928829,2021-22,0.0,0.0,Manchester Utd,0.25,1876.06982422,0.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,25,0.0,0,43.25,Aaron Wan-Bissaka,1727.38696289,Southampton,1.0836423981389054,2021-22,0.0,0.0,Manchester Utd,0.0,1871.86975098,1.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,18,0.0,0,43.25,Aaron Wan-Bissaka,1753.69421387,Brighton,1.0645799119791104,2021-22,0.0,0.0,Manchester Utd,0.0,1866.94763184,1.0,0.0,0.0
0.0,0.0,0.0,1,1.0,DEF,0,26,0.0,0,20.75,Aaron Wan-Bissaka,1726.0715332,Leeds United,1.0871772219202485,2021-22,0.0,0.0,Manchester Utd,0.25,1876.5456543,0.0,0.0,0.0
0.0,0.0,0.0,1,6.0,DEF,0,27,0.0,0,22.5,Aaron Wan-Bissaka,1625.77758789,Watford,1.1609153372384298,2021-22,0.25,0.0,Manchester Utd,0.25,1887.39013672,1.0,0.0,0.025
0.0,0.0,0.0,1,0.0,DEF,0,28,0.0,0,45.0,Aaron Wan-Bissaka,2021.80493164,Manchester City,0.9300282455215666,2021-22,0.5,0.0,Manchester Utd,0.5,1880.33569336,0.0,0.049999999999999975,0.025
0.0,0.0,0.0,1,0.0,DEF,0,29,0.0,0,67.5,Aaron Wan-Bissaka,1815.64990234,Tottenham,1.0323724852099783,2021-22,0.5,0.0,Manchester Utd,0.5,1874.42700195,1.0,0.049999999999999975,0.025
0.0,0.0,0.0,1,0.0,DEF,0,31,0.0,0,67.5,Aaron Wan-Bissaka,1785.29333496,Leicester City,1.0465402581597951,2021-22,0.5,0.0,Manchester Utd,0.25,1868.38134766,1.0,0.049999999999999975,0.025
0.0,0.0,0.0,1,2.0,DEF,0,32,0.0,0,45.0,Aaron Wan-Bissaka,1679.79248047,Everton,1.1079726848457214,2021-22,0.25,0.0,Manchester Utd,0.25,1861.16418457,0.0,0.049999999999999975,0.0
0.0,0.0,0.0,1,0.0,DEF,0,30,0.0,0,22.5,Aaron Wan-Bissaka,2044.45617676,Liverpool,0.9105629057699949,2021-22,0.25,0.0,Manchester Utd,0.0,1861.60595703,0.0,0.0,0.05
