,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
721,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,Wolves,Everton,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,1,0,43,50,86.0,0,38,0,0,0,Match Report,Jose-Sa,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,3
722,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,West Ham,Bournemouth,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Anang,2023-24,0,0,0,0,0,0,0,0,D,1–1,1,1,0.0,0.0,1
723,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Hodge,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,0.0,1
724,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,Wolves,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Hodge,2023-24,0,0,0,0,0,0,0,0,L,1–4,1,4,0.0,1.0,2
725,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,Wolves,Everton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Hodge,2023-24,0,0,0,0,0,0,0,0,W,1–0,1,0,1.0,0.0,3
726,3,2023-08-29,Tue,EFL Cup,Second round,Home,Wolves,Blackpool,Y,CM,54.0,0.0,0.0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,Joseph-Hodge,2023-24,1,0,0,0,1,0,,,W,5–0,5,0,1.0,1.0,round
727,0,2023-08-25,Fri,Premier League,Matchweek 3,Away,Luton Town,Chelsea,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Johnson,2023-24,0,0,0,0,0,0,0,0,L,0–3,0,3,0.0,0.0,3
728,1,2023-08-29,Tue,EFL Cup,Second round,Home,Luton Town,Gillingham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joseph-Johnson,2023-24,0,0,0,0,0,0,0,0,W,3–2,3,2,0.0,1.0,round
729,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,N,CM,1.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Match Report,Josh-Brownhill,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
730,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Burnley,Aston Villa,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Josh-Brownhill,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
731,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,Y*,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,86.0,2.0,16.0,0.0,0.0,0.0,Match Report,Josh-Cullen,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
732,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Burnley,Aston Villa,Y*,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,2.0,1.0,1.0,0.0,0.0,0.3,2.0,0.0,63.0,78.0,80.8,4.0,62.0,0.0,1.0,0.0,Match Report,Josh-Cullen,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
733,0,2023-08-13,Sun,Premier League,Matchweek 1,Home,Brentford,Tottenham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Josh-Dasilva,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,1
734,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brentford,Fulham,N,RM,10.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Match Report,Josh-Dasilva,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,2
735,0,2023-08-11,Fri,Premier League,Matchweek 1,Away,Manchester City,Burnley,N,LB,12.0,0.0,0.0,0,0,0,0,0,0,13.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,0.0,Match Report,Josko-Gvardiol,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,1
736,1,2023-08-16,Wed,Super Cup,UEFA Super Cup,Home,eng Manchester City,es Sevilla,Y,LB,90.0,0.0,0.0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Josko-Gvardiol,2023-24,,,,,,,,,D,1 (5)–1 (4),1,1,0.0,1.0,Super
737,2,2023-08-19,Sat,Premier League,Matchweek 2,Home,Manchester City,Newcastle Utd,Y,LB,90.0,0.0,0.0,0,0,0,0,0,0,73.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,65.0,87.7,1.0,40.0,1.0,3.0,1.0,Match Report,Josko-Gvardiol,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,2
738,3,2023-08-27,Sun,Premier League,Matchweek 3,Away,Manchester City,Sheffield Utd,Y,LB,90.0,0.0,0.0,0,0,0,0,0,0,108.0,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,93.0,102.0,91.2,9.0,79.0,6.0,1.0,0.0,Match Report,Josko-Gvardiol,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,3
739,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,Manchester City,Arsenal,Y,AM,90.0,0.0,0.0,0,0,1,0,1,0,,,1,,,,,,,,,,,,,,,Match Report,Julian-Alvarez,2023-24,,,,,,,,,D,1 (1)–1 (4),1,1,0.0,0.0,Community
740,1,2023-08-11,Fri,Premier League,Matchweek 1,Away,Manchester City,Burnley,Y,"LM,AM,FW",90.0,0.0,1.0,0,0,3,1,0,0,53.0,1.0,0,1.0,0.3,0.3,0.3,6.0,1.0,36.0,44.0,81.8,2.0,25.0,2.0,0.0,0.0,Match Report,Julian-Alvarez,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,1
741,2,2023-08-16,Wed,Super Cup,UEFA Super Cup,Home,eng Manchester City,es Sevilla,N,,6.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Julian-Alvarez,2023-24,,,,,,,,,D,1 (5)–1 (4),1,1,0.0,1.0,Super
742,3,2023-08-19,Sat,Premier League,Matchweek 2,Home,Manchester City,Newcastle Utd,Y,AM,90.0,1.0,0.0,0,0,1,1,1,0,40.0,1.0,0,1.0,0.1,0.1,0.1,4.0,0.0,24.0,31.0,77.4,4.0,25.0,3.0,3.0,2.0,Match Report,Julian-Alvarez,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,2
