FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
3.0,6.0,5.0,GK,17,90.0,90.0,Aaron Ramsdale,1768.07092285,0.0,0.25,West Ham,1.0,0.75,1.5,1.75,2022-23,1.0,1.0,Arsenal,1921.22827148,3.0,2.5,1.0
2.0,4.5,5.25,GK,18,90.0,90.0,Aaron Ramsdale,1799.85070801,0.5,0.25,Brighton,0.5,0.75,2.5,2.0,2022-23,1.0,1.0,Arsenal,1926.28527832,3.0,3.0,0.0
6.0,2.5,4.25,GK,19,90.0,90.0,Aaron Ramsdale,1850.29663086,1.5,0.75,Newcastle Utd,0.0,0.5,3.0,2.25,2022-23,1.0,1.0,Arsenal,1934.44775391,3.0,3.0,1.0
11.0,4.0,4.25,GK,20,90.0,90.0,Aaron Ramsdale,1868.57775879,1.0,0.75,Tottenham,0.5,0.5,2.0,2.25,2022-23,1.0,1.0,Arsenal,1931.19665527,2.0,2.5,0.0
1.0,8.5,5.5,GK,21,90.0,90.0,Aaron Ramsdale,1872.48657227,0.0,0.75,Manchester Utd,1.0,0.5,4.0,3.5,2022-23,1.0,1.0,Arsenal,1941.47790527,2.0,2.5,1.0
3.0,6.0,5.0,GK,22,90.0,90.0,Aaron Ramsdale,1667.46228027,1.0,1.0,Everton,0.5,0.5,4.5,3.25,2022-23,1.0,1.0,Arsenal,1946.91210938,3.0,2.5,0.0
2.0,2.0,5.25,GK,23,90.0,90.0,Aaron Ramsdale,1786.07189941,1.5,0.75,Brentford,0.0,0.5,2.5,3.25,2022-23,1.0,1.0,Arsenal,1933.00195312,1.5,1.75,1.0
1.0,2.5,4.25,GK,12,90.0,90.0,Aaron Ramsdale,2016.69946289,1.0,1.0,Manchester City,0.0,0.25,2.0,3.25,2022-23,1.0,1.0,Arsenal,1926.68920898,0.5,1.75,1.0
2.0,1.5,1.75,GK,24,90.0,90.0,Aaron Ramsdale,1748.46557617,2.0,1.75,Aston Villa,0.0,0.0,1.5,2.0,2022-23,1.0,1.0,Arsenal,1916.42614746,0.5,1.0,0.0
6.0,1.5,2.0,GK,25,90.0,90.0,Aaron Ramsdale,1765.05517578,2.5,1.75,Leicester City,0.0,0.0,2.5,2.25,2022-23,1.0,1.0,Arsenal,1921.86022949,1.5,1.0,0.0
